CodeL1,PCode,PlanName,Account1,Rate,UseYN
5105010107.102,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา -ระบบประปา,1.0,Yes
5105010107.103,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - ระบบบำบัดน้ำเสีย,1.0,Yes
5105010107.104,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - ระบบไฟฟ้า,1.0,Yes
5105010107.105,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - ระบบโทรศัพท์,1.0,Yes
5105010107.106,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ระบบถนนภายใน,1.0,Yes
5105010109.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์สำนักงาน,1.0,Yes
5105010111.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ยานพาหนะและอุปกรณ์การขนส่ง,1.0,Yes
5105010113.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์ไฟฟ้าและวิทยุ,1.0,Yes
5105010115.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์โฆษณาและเผยแพร่,1.0,Yes
5105010117.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์การเกษตร,1.0,Yes
5105010119.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์โรงงาน,1.0,Yes
5105010121.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์ก่อสร้าง,1.0,Yes
5105010125.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์วิทยาศาสตร์ และการแพทย์,1.0,Yes
5105010127.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-อุปกรณ์คอมพิวเตอร์,1.0,Yes
5105010129.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา - ครุภัณฑ์การศึกษา,1.0,Yes
5105010131.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์งานบ้านงานครัว,1.0,Yes
5105010133.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,บัญชีค่าเสื่อมราคา - ครุภัณฑ์กีฬา,1.0,Yes
5105010135.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,บัญชีค่าเสื่อมราคา - ครุภัณฑ์ดนตรี,1.0,Yes
5105010137.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,บัญชีค่าเสื่อมราคา - ครุภัณฑ์สนาม,1.0,Yes
5105010139.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์อื่น,1.0,Yes
5105010148.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าตัดจำหน่าย-โปรแกรมคอมพิวเตอร์,1.0,Yes
5105010149.102,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าตัดจำหน่าย-สินทรัพย์ที่ไม่มีตัวตนอื่น,1.0,Yes
5105010158.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ส่วนปรับปรุงอาคาร,1.0,Yes
5105010160.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาอาคารเพื่อพักอาศัย -  Interface,1.0,Yes
5105010160.102,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาอาคารสำนักงาน-  Interface,1.0,Yes
